size;qsort;mysort;bublesort
1;0.0000;0.0000;0.0000
51;1504.8000;22750.0000;22461.5385
101;2846.6454;85400.0000;75333.3333
151;3787.8788;170800.0000;172500.0000
201;4722.8916;242700.0000;242800.0000
251;4945.7364;347900.0000;323550.0000
301;5595.5056;428100.0000;426700.0000
351;6190.3226;541100.0000;529800.0000
401;6160.6426;681600.0000;668500.0000
451;7434.3891;841500.0000;842000.0000
501;8427.1523;1053600.0000;1055000.0000
551;9586.8726;1298700.0000;1284900.0000
601;10727.7487;1643500.0000;1633900.0000
651;13178.2178;1924900.0000;1911000.0000
701;15190.4762;2219300.0000;2110500.0000
751;15704.5455;2450100.0000;2487900.0000
801;17248.2759;2728900.0000;2743900.0000
851;19512.8205;3072600.0000;3079500.0000
901;21091.6667;3462100.0000;3513300.0000
951;22097.5610;3865700.0000;3842400.0000
1001;23787.2340;4232500.0000;4226200.0000
1051;26505.0505;4667400.0000;4719200.0000
1101;28393.2584;5157000.0000;5135400.0000
1151;30455.6962;5693100.0000;5796333.3333
1201;31519.4805;6127100.0000;6236800.0000
1251;34380.2817;6639900.0000;6684200.0000
1301;34974.5763;7191200.0000;7174400.0000
1351;37014.2857;7794300.0000;7775100.0000
1401;39483.8710;8325400.0000;8284800.0000
1451;42122.8070;8894700.0000;8899700.0000
1501;42796.2963;9609200.0000;9593100.0000
1551;44327.5862;10249700.0000;10280800.0000
1601;46226.4151;10906400.0000;10928200.0000
1651;49020.0000;11680000.0000;11794600.0000
1701;50479.1667;12553600.0000;12583700.0000
1751;51104.1667;13311500.0000;13292800.0000
1801;52666.6667;14114600.0000;14146200.0000
1851;55596.4912;14916300.0000;14862500.0000
1901;58682.9268;15620200.0000;15637300.0000
1951;59393.4426;16524200.0000;16535500.0000
