size;qsort;mysort;bublesort
1;0.0000;0.0000;0.0000
126;1938.2716;90533.3333;90600.0000
251;4040.0000;358400.0000;359400.0000
376;6190.4762;806200.0000;851480.0000
501;9156.2500;1473133.3333;1429266.6667
626;10400.0000;2232933.3333;2266400.0000
751;12933.3333;3271000.0000;3239066.6667
876;14895.7655;4411066.6667;4426133.3333
1001;16733.3333;5828533.3333;5976722.2222
1126;18866.6667;7375333.3333;7288200.0000
1251;20933.3333;8987333.3333;9072066.6667
1376;22666.6667;10826400.0000;10824200.0000
1501;25376.4706;13003133.3333;12917266.6667
1626;26800.0000;15607416.6667;15248333.3333
1751;29455.5556;17603000.0000;17542800.0000
1876;30533.3333;20794804.8780;20213466.6667
