size;qsort;mysort;bublesort
1;0.0000;12.0000;0.0000
126;510.0000;312.0000;288.0000
251;1000.0000;532.0000;572.0000
376;1398.0000;860.0000;822.0000
501;1768.0000;1110.0000;1106.0000
626;2157.3427;1396.0000;1414.0000
751;2575.6757;1654.0000;1656.0000
876;3053.5714;1920.3980;1957.8947
1001;3483.0918;2214.4928;2206.4897
1126;3813.0841;2492.5743;2513.8539
1251;4307.6923;2760.3306;2795.2381
1376;4705.2632;3084.3373;3000.0000
1501;5156.8627;3328.3582;3302.5641
1626;5542.1687;3658.8235;3595.7447
1751;6000.0000;3892.3077;3838.7097
1876;6491.8033;4000.0000;4138.8889
