size;qsort;mysort
1;46.0000;56.0000
126;4488.0000;3561.2245
251;8698.1132;6058.8235
376;12773.8928;6818.1818
501;13754.1667;9133.3333
626;19895.8333;9551.7241
751;28300.8130;10583.3333
876;23173.3333;11631.5789
1001;33793.1034;12866.6667
1126;41621.2121;14117.0213
1251;33880.1262;14400.0000
1376;45138.8889;16000.0000
1501;50518.5185;17333.3333
1626;56973.6842;18000.0000
1751;50658.8235;19733.3333
1876;63230.7692;21066.6667
2001;69853.6585;22400.0000
2126;69045.4545;23800.0000
2251;70175.0000;25555.5556
2376;78012.8205;26800.0000
2501;86954.5455;28333.3333
2626;85242.4242;30078.1250
2751;88031.2500;31066.6667
2876;94321.4286;32333.3333
3001;101314.2857;33933.3333
3126;100411.7647;35066.6667
3251;106923.0769;36533.3333
3376;112600.0000;37733.3333
3501;116880.0000;39133.3333
3626;126558.8235;40866.6667
3751;127000.0000;42000.0000
3876;130631.5789;43933.3333
4001;136777.7778;44733.3333
4126;138000.0000;46400.0000
4251;150230.7692;47733.3333
4376;150823.5294;49066.6667
4501;155625.0000;51413.7931
4626;160400.0000;51666.6667
4751;163608.6957;54166.6667
4876;168066.6667;54666.6667
